Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.....34..1....5...4..16..8..8.....3.........99..8.716..4....5..7.14...9.......7.4,24,45,12,0,0,0,0,0,0,Easy,
...5469..........82.....5.......8..7.6.7248.3........439....7...2.8.34...7.9...26,27,52,2,0,0,0,0,0,0,Easy,
..9...751......3..1...3...9...5.....652......39..1....42....13...67...25...1..4..,25,182,33,6,3,1,4,18,32,Expert,
4....523...32....1.62..8..7........86...34.1...5.6..7..7......6.......8......3.4.,24,39,16,0,0,4,0,2,0,Expert,
....39..25....63.....4.........27......6.57..34.......67..9..2..9....8.3.257...4.,25,45,20,0,1,1,0,2,2,Expert,
47..............2.13...2.477.9......2...8..3..85..4.9........128...719.4..4.5...3,27,70,11,7,0,0,0,4,2,Expert,
.3.........7.2....5.6.7.8...1.4.3..5.4..5..268......31.65..7.......8...73.....5..,25,44,12,2,0,0,0,0,0,Intermediate,
5......46.....6...4.75...3815.73.28.......1.........57..4.....52.1......37..2....,25,37,18,3,0,1,0,1,0,Expert,
52.6....4..49..83.7.3.24..5.6....39.............5..7.6...35.....9...7........8.4.,25,48,7,0,0,0,0,1,0,Expert,
8..9........2...3.94.7....5..7.653..2.....58...8....4....6.8.2.....2.47......4..9,25,42,14,2,0,0,0,0,0,Intermediate,
.......2.......7..7.....5434......71.3.7.6...6....8.....2.8.134..852.......6.3.5.,25,47,8,0,0,1,0,1,0,Expert,
.8...15.6.9...68....42...1...6....9.219.45.................9.6.......3.2..58.3..4,25,47,9,2,0,0,0,0,0,Intermediate,
2..5......5....1...1.4.82.7.98.3..7...4...9..7..1.5..3..32......4.7.3..1........4,26,48,7,0,0,0,0,0,0,Easy,
.13..54..9.......2.246......5..........529...8..4..1...8...4.6...9...3.1..5..8.9.,25,49,7,0,0,0,0,0,0,Easy,
..92..5..1...6.3....6...914..5...4393.....6.2.........67...31.....1....7..254....,26,64,6,0,0,0,0,2,2,Expert,
.........9....57.43........6..25....4..9..2..5.8..4.76.6.........58....38.3.476.5,26,53,2,0,0,0,0,0,0,Easy,
....8.5..1.....3.8...2.....2.1..8..3..8..9..1..562...7...5...2...67..1.9.7.......,24,38,18,0,1,4,0,1,0,Expert,
...2.....63.1...58.453.8........5.........1.67........26..1.7....4..752..5.4.2...,25,41,15,0,0,0,0,0,0,Easy,
....2.....6...71.3.8.3.46....37........9..8..1.........1...6.9.29..387.6..4.....1,25,89,19,1,1,6,0,6,10,Expert,
4..38...76.2.5.3..3.......................278293...54....9...64......7.9..76..8..,25,50,6,2,0,1,0,0,0,Intermediate,
.....1.2...78..9...3.76......3..4.......1.....986.2..4.82.3.7.....4..........9.16,24,38,19,0,0,0,0,0,0,Easy,
.9..46.8....9.3.6......2..79..4.8.1..1...93......7....3..6..8241...87.9........3.,27,37,17,0,0,0,0,0,0,Easy,
4....58.3.1...37...8321..5...93.....5......24..45..9..7.8..9..............2...58.,26,40,14,4,0,1,0,1,0,Expert,
2.........1.8.927.....14..5.42.......7...18..6.1....4.8......1..9.7.84..726......,26,42,29,1,0,0,0,4,4,Expert,
1.632.8.5...7.8......6...2.......5376.2....8..758.19...3.....9...1....5.........1,26,51,4,0,0,0,0,0,0,Easy,
..7.16.2.92.3..846..3.......6.2.8.1...4..1.93.7............2......1..7.9.......8.,25,51,5,0,0,0,0,0,0,Easy,
...6..2.........3.4632..5...59...6..732.6.4.........9.54.....6.......7412...7...5,26,41,14,0,0,0,0,0,0,Easy,
.28.3......7..2....5....79..89.5.....35...9.7.....6.....13..5.....16.3.....29....,24,43,14,0,0,0,0,0,0,Easy,
8..5.1....3.7..65.7.4..31.....8.............23......7..871..3.5.4.2.5..8..2....1.,26,47,8,0,0,0,0,0,0,Easy,
.1.5......439.6.1.9.6..8.5.....1.5.9............8....6.........8..4..791...6518.4,26,37,18,0,0,0,0,0,0,Easy,
.........72.89..4..8.26.....6.7.....1....84....49.3....7.382...4......89.......72,25,50,16,1,0,2,1,2,2,Expert,
57.....1...1...9...4..2....7..1......9...4.6...6..9.3..2.....5.4.351...795....3..,25,36,19,0,0,1,0,1,0,Expert,
.......93.86.9........216.78......5.1.7.....8.53...2..5.......1.6..1...29...72.6.,26,40,15,1,0,0,0,0,0,Intermediate,
1..795.8.7.9..6.12.86........2.4...1...2..5.....8.9.7....91.827....5............4,27,52,17,3,0,1,1,4,2,Expert,
.2.37...558...42.6..9..53........4..2..5....77.......88.6..7..3.4..3...2....9....,26,42,13,0,0,0,0,0,0,Easy,
..57.2...23.8................7..8..632...6.7495....3.2......5..6....4..3..9.3....,24,37,20,1,0,0,0,0,0,Intermediate,
..94.5.7.3..97.......18...32.5...7411.......2.7...43..4.2........8...1..73....5..,27,112,24,2,1,3,1,10,16,Expert,
..254................7..632.4...63..6.....57....13...4156.7......7..421....9.....,25,39,17,0,0,0,0,0,0,Easy,
31.....47.7..436...28.7.3.......9....41.8..7.93..2.8.............793...2....1....,26,55,0,0,0,0,0,0,0,Simple,
.6.87..21..7.9.8...5.6...4..7.1.2.54....6.1.........7..1....5.....45...9.....1.8.,26,50,5,0,0,0,0,0,0,Easy,
..9...7.18.76..3....4....691.3...5........6.7...43...8......81.57.1.8......3....5,26,53,2,0,0,0,0,0,0,Easy,
.5..93..1....8..9..4....85.9......76..67.......1...5.476...914..........1.5.....3,25,50,6,0,0,0,0,0,0,Easy,
.6......8.3...6.4...14..7.......8..7..279..3.94...1...2.6.......9....8....3...1.6,24,44,13,0,0,0,0,0,0,Easy,
.........9.....3........842......978..2..3...7..9....6.267...5..7..2.4..58.49....,24,42,14,0,0,0,0,1,0,Expert,
3....27.16...3.9...7.9..5...2..........3.9.1.8........2..5.6....9..28.....51..89.,25,40,14,1,0,2,2,2,0,Expert,
..52.8.4..4..3..1.9.6........3......8.........61..98..4...5....3...41.25..89.....,24,46,11,0,0,0,0,0,0,Easy,
...........6.4.3..7..3....2....94...2...7....3........6.47..1....9.16.7....28..94,23,33,25,0,0,0,0,0,0,Easy,
.4.7...9.9.2....3......1..5.....73.........8.815.3.2.4.........47..8.1.......54.8,24,39,18,1,0,0,0,0,0,Intermediate,
..6....1....2..3............47......913..72..6.2.31.7..3147.65.5.4..3..9..9..6..3,29,47,5,0,0,0,0,0,0,Easy,
1...9.2..8...6..133.........3.1...24......6.....5..........8.65.6.9.54....5.4...8,24,33,23,1,0,3,0,1,0,Expert,
.....7....7.3..9..5.42....3...5.34.1....4..6....9........4721..3......72.5.6.....,24,44,13,1,0,0,0,0,0,Intermediate,
6.93...72.53.7.6..1....8....8..2....3...8.7..9...16.3.5..6..32........9..........,25,46,10,0,0,0,0,0,0,Easy,
6..2..59...8......1.59.32.7.9...1..3......8...8...2......759.....13.8.6.....2..3.,26,46,9,1,1,2,0,0,0,Intermediate,
2....5......36......34.9..5.47..683......8...89.7.45...........96....72.734....9.,27,62,15,4,1,2,1,4,2,Expert,
..195......98.2..............7.1.2.43...8..5.5.2....87.....5.....8.3..1.245....9.,25,52,20,0,0,0,0,2,2,Expert,
..7..3.255..9...8..8......3.65.....8.....9....3.8..7.....5..3.6.......7....1.29..,23,37,21,0,0,0,0,0,0,Easy,
.....536...1.......4.....7..751.6.......2....8.....1.63.6.574..7...8.........4.52,24,40,17,2,0,0,0,0,0,Intermediate,
.2....8.658.36..4....4...........5.1.6.8....2.......6.1.7..4.2..3..75....58.2..1.,26,76,9,3,0,1,0,8,6,Expert,
9........3..87.....7.6.1.......9.13.14.73...6...2..7..4.638.91...9...6.3......82.,28,33,18,1,1,4,0,2,0,Expert,
.9...2..4.1...35..8...5.3..2.....4.574..1.2.....7..9......3.78....9.....18.......,24,48,16,1,2,0,0,2,2,Expert,
...5.2...5.......7...379..2...94.5....9.1362.......1.3.7.....3.1..........2..7.65,25,51,5,0,0,0,0,0,0,Easy,
...9..5..54...63.86..2.3.1....3...42.....9.........1.5.6......112....8...3.8.4...,25,98,24,1,0,0,1,12,18,Expert,
5..21.............28......9...8.63.........5..3192.6.8.23......157.6.......39.1..,25,40,16,0,0,0,0,0,0,Easy,
.........31..75.......13...128..6...6..14........2.6..7..35..1.2...6.5.7.....4.23,26,42,13,1,0,0,0,0,0,Intermediate,
.......7......893..1......5.9...43.85..1......7..3.2..4.......3.5397.4....1....9.,24,38,19,0,0,0,0,0,0,Easy,
........64..7...1...7.8.......87.34.38.25.......1....5.5.3..6....2..61...41......,24,39,16,0,0,1,0,2,0,Expert,
..6.....1.4.....3...7.2.....2.1.6.4.....84.9.3....9.17.68...2..9........4136.....,25,43,13,1,0,0,0,0,0,Intermediate,
2.....5..65....418........64.....7.2.........178.4...5...2..1.3.6..7..8...236....,25,63,9,0,0,1,0,2,2,Expert,
74......88..7..1....1.2.....1.6....2.65.7.3.....3..48......5....3....84..7...6.2.,25,37,19,1,0,2,0,0,0,Intermediate,
.2...961..4...1.5...7..2.9.....5..6.9716.48..8...............876.4.......1.......,24,41,16,0,0,0,0,0,0,Easy,
..57..3..7...9.2.......198..7...9...1...3...8.8..7..41.......729..4...5.5.....8..,25,39,17,0,0,0,0,0,0,Easy,
....1...6..2.98...51...29.3....7.815.8................2...39....6..5.1...39..76..,25,32,24,0,0,0,0,0,0,Easy,
29.......1..3.9.2...7..819..1..76..3.6.9......7.2..4.....74.8........71........6.,25,40,16,0,0,0,0,0,0,Easy,
31..2..4...........6497.18.23..8.71.....6.9.....2.7....9..14....7.....9..4.6..2..,27,43,11,2,0,1,0,0,0,Intermediate,
6.7.......5..7....4....9..11..9..3.2.2...6.5..6.....17...5..9739.52.............4,25,43,13,0,0,0,0,0,0,Easy,
76....4....43....5....15..639...46.76.8..3.5.........1...6.....97.......5.6.9.1..,26,43,12,0,1,6,2,0,0,Intermediate,
95...38.....4983..3..5.....61.9.45.....3..6....4.1...8.......3.......96.5.....2..,25,52,4,0,0,0,0,0,0,Easy,
.....7...79.5....6.5..4.12.....9...2...372........13...1.76...9..4.1.56.5....3...,26,54,1,0,0,0,0,0,0,Easy,
......32..34.6....1....9..6...594.........642..3...8.....92..5..2931...8.....8...,25,68,21,0,0,1,0,4,6,Expert,
..6.7.2..5....19..2......469.............78.2..1.8..7.4.....1......5......5.6..84,23,56,7,8,0,0,0,2,2,Expert,
..84...6.........44......8..71....5....9.53........8.6.168.74..94..1......53.469.,27,45,9,1,0,0,0,0,0,Intermediate,
82...9..............32...1.3..........872.....1735...6....7..21...86.9.7.7513....,26,36,19,0,0,0,0,0,0,Easy,
....328....6....1....6.5.2...827.1...7...35....3.......8....6....9....73..716...2,25,48,8,0,0,0,0,0,0,Easy,
.......4..421...........2.1..39.1.....4.8...71...2.8.57....4..2..........8.3.541.,24,46,11,2,0,0,0,0,0,Intermediate,
.......5.........4....78....5...9..87..1..34.9..4...2512.834..7.3..2.4....8..1...,26,50,5,0,0,0,0,0,0,Easy,
......6438.2.......6......854..1.........8...1..36...4..598..3...4.2.1.52.91.3...,27,40,13,0,1,0,0,1,0,Expert,
..28..67.8..2.9.5...567..1.5..7..82......4..52.9...4..4......8.........2...1....6,26,69,5,1,0,4,0,3,2,Expert,
...39...8..........1.8.......863.7.479......6.631.......17..3.5.3..6.8..5.......9,25,40,13,1,0,0,0,3,0,Expert,
..7..24...4..79..82.83.15.........5.....2..81..91......9.5..87...1.....3..2.3....,26,47,8,0,0,0,0,0,0,Easy,
...8..1..41.....5.7.3...24.3...7.9.5.....17.2..29.8.3...87.....2........1.7.5.8..,27,81,17,1,0,2,0,6,10,Expert,
....6.....5.7.128...3....7.62.18...5..85...3...4..2...18.62.....4.........2.17...,26,46,9,0,0,0,0,0,0,Easy,
...7...9..632....595...16...928.5.6.....2...17...9.8.............5....3.6.9....7.,25,102,20,3,1,2,1,10,14,Expert,
95........765.....1..........47...3...2.9....69......1.....53..36..245.9.45..1.62,27,42,15,0,0,2,0,2,2,Expert,
..7..5291.5.....4.....918.......3.8.8........4...7932..7.3......42......3.17.....,25,48,13,0,0,0,0,2,2,Expert,
.1....2.3.......8....9...1........9424.1.68.55.3..9...1....4..6.5....1.8.6.3...4.,26,46,9,0,0,0,0,0,0,Easy,
.7.84.13.......7....6.9.....6..3.8....76...1......19.34.935...7.............7.384,26,46,9,0,0,0,0,0,0,Easy,
..4.5.8..3...71..95.74.31.......97.32..8....5......9821.........2..14.9....3.....,27,42,11,0,0,0,0,1,0,Expert,
4.9...638......7...2.6...4.974.8......39...82....3.......3.2..9.1..7....8.......3,25,46,10,0,0,0,0,0,0,Easy,
....6...265....97..3....4...4....5...6......17..69...3...35..242.4.79.........7..,25,42,14,1,0,0,0,0,0,Intermediate,
..28.74........9.365..4..2.2389.....5..2......79....3..6.59.7.4.45...............,26,53,2,0,0,0,0,0,0,Easy,
........1..2.9.75...8.6..4....6.....2.94....5....5.918.7..8..6....5.......1.47.9.,25,39,17,1,0,0,0,0,0,Intermediate,
.6..4.13.8.3.16..9...9....727..........398........4............68.....429..6...8.,24,45,15,2,0,1,1,3,2,Expert,
7....3........541........56.3.4....2.4.75....1.5.38...3....68.5......7....1..4.3.,25,62,23,1,0,0,0,6,4,Expert,
....29....86...1...273.1..44.........186....7.9..4....3.....6...49.....1.7.2.83..,26,87,17,1,0,0,0,10,16,Expert,
....68.43....7..........21..9174..3..47.3..9.2...91..8..34.9.....2........9.17...,27,45,9,0,0,0,0,0,0,Easy,
6.8.53....9.8........9.67.14.........37....6.........3.6...95..1..47.9..8..5.....,24,67,14,1,0,3,0,3,2,Expert,
58.6.9..34.7.....6....8...93.45.6.....2.7..........5......64295.....28.7.....8.6.,27,41,13,1,0,0,1,0,0,Intermediate,
8.....6..........2.....48.149...8.6..28.....431...9...5...2.4.8..6.9......14.53..,26,29,26,0,0,0,0,0,0,Easy,
.6.83....2.9....6.5......48...3....24..2...5....6...14......83..1.....9.9.5.2....,24,45,12,0,0,0,0,0,0,Easy,
...3.8.9.71..26.....5.....69.....6...3..1...7..1.7.5..89........5.8..3..6.3.....8,25,70,22,0,0,1,0,5,6,Expert,
..39.2.4.....1...582.....9......9.8..8....7........5...7..85.3114....2.....4...5.,24,40,17,0,0,0,0,0,0,Easy,
..45...1...3.....6.6...1..2.5..2..6..4.95.....9.4135....5....4.....7....9.....3..,24,23,34,0,0,0,0,0,0,Easy,
3...2...69.6...2...8...1.3.......76.4.3.......7....8.1.4298...............83.6.7.,24,53,4,0,0,0,0,0,0,Easy,
.367.......2531.............7....8..1.4....6....4.6.35..1..84.....6.4.......2.5.1,24,29,28,0,0,0,0,0,0,Easy,
.4..8....7..3...81.....5..4..8..7....291..3..5.......228..4.....1......5.9.....1.,23,68,11,2,0,2,1,3,2,Expert,
......24..7.....8131..2.6..4......1.....8...6.6.931..8....12..........7473.86....,26,38,17,0,0,0,0,0,0,Easy,
....3.6.4..1....8.......97......8...36.5..14..5...9..3.........198..6..5....7..19,24,55,2,0,0,0,0,0,0,Easy,
3...6.92..84.9...7...4...38.7........6..8.7....1.........2....3.9.64....6.....19.,24,41,16,0,0,0,0,0,0,Easy,
.91..8..2...72.3.9....31.......6...1......2.7...5.38...16.9...3.2........7..1..5.,25,36,19,2,1,1,0,1,0,Expert,
.....7253.8.....1.....3..........725.31...4.......5..646.......3..5.2....1...43.8,24,54,3,0,0,0,0,0,0,Easy,
.....8.62....9......6.374.8.....297.....16..47......83.....4......86....42...9.3.,25,56,0,0,0,0,0,0,0,Simple,
.....1.48..748..6....9...2.68..7......41.69.3.9...32..1.8....9.............7....1,25,47,9,0,0,0,0,0,0,Easy,
..........53.62........1..6....1..4.4..2.6.....8...175.......21.21753..8.8....75.,26,34,20,0,1,2,0,1,0,Expert,
.8.691.5...74.....16.2......2..1..7...8.....5....5.8..27...6.9..157........14....,26,33,19,3,1,1,1,3,0,Expert,
..6....24.83.2..7......5.8....6..94...9.8...73....7...7...9...85.........2.....3.,23,50,12,2,0,0,1,3,2,Expert,
1683.....................23...5...3..37.8..5.6.2..7..1.7..2......3.64..7..41.3...,25,32,24,0,0,0,0,0,0,Easy,
.236.4....1..2.5.7.6.8......5.43..2..........4..........5.8.7.....37...1..2..6.8.,24,46,11,3,0,1,0,0,0,Intermediate,
4...........2.1...17264.....2.86....3.......9.481...3....427..6....3..8..679.....,26,55,0,0,0,0,0,0,0,Simple,
..3.5........63...4..........7..86..2..146..31.......57.8.325.4..1..7..2......3.7,26,59,17,0,1,1,0,2,2,Expert,
...7..6..................4...7.32..6..3..7...14.96.....3..241..2....5.739.61....2,25,47,9,0,0,0,0,0,0,Easy,
45.......1...9...5.8..21.......7...3...8.9.....4......5..2...7.2...3.4..7.94...31,24,44,13,1,0,0,0,0,0,Intermediate,
..............876..8.15..425..67.3....251.6..3.1..2.......45......3..2...4.2...7.,26,39,16,0,0,0,0,0,0,Easy,
....7.4..9.21....8.7869..1..5...4..12....18.4....5..7...4..........89.....62.7...,26,36,19,0,0,0,0,0,0,Easy,
....7...4.........925...6..83.7..........9.2.6.9.3...57.4.5.8.65...6.....8...4..3,25,51,17,1,2,3,0,4,2,Expert,
7...418....8.3..7...4...1.398.5....7..6.............5...3..87.5.7...5...4...9...6,25,33,23,0,0,0,0,0,0,Easy,
.7..........514.2.....6....5....82.7.4....81...6...9..2...85...8....2..449.67....,25,47,15,1,0,4,0,2,2,Expert,
6.28..4.........5....214......4...1.....7.2...9.5..786..1.82..9.7..5.6....8......,25,63,10,3,0,5,0,5,2,Expert,
92...31.....2.......1....78..8....69..........1......7.8..94...6.4.7.98...71...4.,24,53,22,1,1,0,0,2,2,Expert,
7....341..1...5..9...4..8....9....63....7......15..7....38....796.3....4.4.61....,26,44,10,4,0,1,0,1,0,Expert,
1.......9.39...6.8.....3.15..13...5....9.2....65..4....821.5......8.6.....6.2...3,26,53,2,1,0,0,0,0,0,Intermediate,
7...845.......7.19.......2...59.....26.7......8..6......621....8.2.956..51.......,25,43,13,3,0,0,0,0,0,Intermediate,
26.1..43.7..6..2.8......9.16....9...8.4.......3...8....13..7..9..7.8.1..9...4....,26,46,8,0,0,1,0,1,0,Expert,
....1......4..6...7..243..61.....7.883......556..7..42....51..4...8.461.....6...7,28,35,18,0,0,0,0,0,0,Easy,
.......63..67..95.2......1.....9...6...8...9..8.35....9.5.....2.1..67........5.78,24,46,10,1,0,0,0,1,0,Expert,
...4.......85.........68......25.1....16.942....3.46.84.682..3.9.....8...1..4.56.,28,53,0,0,0,0,0,0,0,Simple,
.3........168...7.4.7.31....21.7..5............3.12......64...15.....3....85.....,23,35,23,2,0,0,0,0,0,Intermediate,
...8...14.....73.5..2....6.54.2..6.18..7.5......1.85...13.........5.1...6.4.3....,26,47,8,0,0,0,0,0,0,Easy,
3......7.5....23..........5.1.6.32.49.52.4..7.....79.6.....65.9...9..6..4.......3,26,36,18,5,0,0,0,1,0,Expert,
3.....6.1.6...1.847...4...3.76.23........4...84.....2918....9............93.8.176,28,55,16,2,1,1,0,2,2,Expert,
8............9..1..96.7...2....691...7.....26.8....94......6.7.1.....28.9258....1,26,27,28,0,0,0,0,0,0,Easy,
5.....29..6...1...3..96..8..4..5.9.8..34...6...2.....5.36...1.4.9.......8...1....,25,44,12,0,0,0,0,0,0,Easy,
14.2..5.......7...5..6.....2...617....45........7.8...........1..71.38.54.2....63,25,46,10,0,0,0,0,0,0,Easy,
.6.....2..78.5.....5.1.68.712.4.7....8523..7.6..5.........2.4.........8.......6.5,26,41,14,0,0,0,0,0,0,Easy,
5..4...8.......2.77.2....536843.5.....7..9...2......6.4..5..876....2..9.......5..,26,38,15,0,0,1,0,2,0,Expert,
...1.4..5....9.....7..5641.....6..9.....71........3.....3.....221.7....9..9.15.63,25,51,5,0,0,0,0,0,0,Easy,
..3..7...7.8...1..4...92...2............48...9.4.......3..6.7.9.....1.3..6.2.38.1,24,54,3,1,0,0,0,0,0,Intermediate,
6......5....8.4...1.3.....4.7.21....3.5.....8..4..7...8...2..........2.3....764..,22,78,7,2,0,3,0,2,2,Expert,
....3...2...9.78...3.48.91...4....7.5.1.7.24...2.4.5......9.....2....3...9.1...8.,26,44,11,2,0,0,0,0,0,Intermediate,
.............48.69.1......4.....6458.9.......14...2..7.8.2.9..66....5.4...7.6..91,26,50,5,0,0,0,0,0,0,Easy,
.97.28..3...6.3.....2..5..65.9...............36....8.5.4....2.9..5..4.8.7..9..3..,25,49,15,3,0,1,1,2,2,Expert,
....3..5....9..3.1.....7..47..1..5.91......7.2...94..3......7..4...2.9.5..35.96..,26,52,3,0,0,0,0,0,0,Easy,
...2.5...9.....5..6..3.....3..8....92.9.....8.5..2.61....1....5..17.3.2.7...9...6,25,67,12,2,1,2,0,2,2,Expert,
.583..............9.45.8.7.67...1.8........9...5.6.31.583..49........1...49......,25,76,21,3,1,3,0,4,6,Expert,
..9.......7.26.3..2.........4........6...92....73....14...257...1.6...435....4..9,24,68,17,2,1,0,0,11,16,Expert,
.64.3.........9...9.2........1..85..6....5..943...2.........6.18.34...5....9.182.,25,47,9,0,0,0,0,0,0,Easy,
4..5.1....98.4215.1.29.8.6....8..7.6.......95.7.2.5.8.68.....4........19.........,28,49,4,0,0,0,0,0,0,Easy,
7..5....8.5.7..6......24.....4.62.5.....7..9......3...2....74..98........76..5.89,25,42,14,0,0,0,0,0,0,Easy,
.......6.1.3..67.9..7.9.51...6.281....1......9.5.....3.....3........78......65237,26,45,10,1,0,0,0,0,0,Intermediate,
..73...954.9.7......8.243....6...8.....6.75.27...4......2...9.8...5..6...........,24,50,11,2,0,0,0,3,2,Expert,
........7.23.....68......2...2..91...8..7.....3.1...7..7....85....3...69569..17..,25,44,11,0,0,2,0,1,0,Expert,
.1.87...58..3.4.91..592...7293.....4.......2..4.....894...8......1....7.732......,28,46,7,0,1,0,0,0,0,Intermediate,
..9.....316.......425...69......9......2.5..8...4...6...1.239..5.4..12.....9....5,25,43,13,3,0,0,0,0,0,Intermediate,
......3........517273...6.4..9..3....6514...91..7........65.4.3.9.........6....2.,25,46,10,1,0,0,0,0,0,Intermediate,
..6......13.....75......6.3..1..48.7....25.1........4.28.6.1.....4...28..53......,24,44,13,1,0,0,0,0,0,Intermediate,
....2...1.537.42.....61..9.2...5...9.4.......5...4.....17......6..5..1.3.....9.26,25,45,11,2,0,0,0,0,0,Intermediate,
......41...58...36...96..........9..7.65..38....3....5...6..1..6...85...3.47.9...,25,51,23,1,1,1,0,3,2,Expert,
5.4.7....2.9.6....6.....129......463.........7.23..9.5.6..5..9.3.....2....7....4.,25,44,14,2,0,0,0,2,2,Expert,
2.43...15.75...6...6...7......8.2..6..1..3.5.5...76.4.3..7.5..4..8.4....4........,27,37,17,0,0,0,0,0,0,Easy,
.........3....5.2.9..7....8....96.....1.2..9........317....13...3...965..28.5.7..,24,40,17,0,0,0,0,0,0,Easy,
......9874.............5...74.1.3..5...8...6..81657.9.3....1..........4...5.8...6,24,45,12,0,0,0,0,0,0,Easy,
...417.....8.5.746..........5..7.9.8.....94..........11....6.29..57.8.6..9.5.....,25,52,4,0,0,0,0,0,0,Easy,
...2.....975.....8.....3....9..412....4....8.2.1...9.7.2.8..5..8.....49..5.....13,25,46,10,0,0,0,0,0,0,Easy,
6....4...48......9.798.........82......4..7..5...61.8284...5...2.6........7..61..,25,56,0,0,0,0,0,0,0,Simple,
1..8..3...8.3..14.6..2....8............6......7...1.64..412......2..39.7..7..8..3,25,42,14,0,0,0,0,0,0,Easy,
...7.29.6.8...........39.....9....8..31.5...2..8..76.....59....61...8.....7.13...,24,37,20,0,0,0,0,0,0,Easy,
...1..73.....4.8.95.9...2.4....1.....2......841.5...97....3.......792...9..45...3,26,54,15,2,0,3,0,2,2,Expert,
..2597...75...............1....8..1.....6.592...9.2.3......5.7.6..3..2.....82.6.5,25,56,0,0,0,0,0,0,0,Simple,
23..746.5......723.............3......2...1.4.....1.787.58..3.....6......63.57281,28,46,7,0,0,0,0,0,0,Easy,
.9.1.5.........398.76.2......89.156...9.682....1.57.3.6.....7........9..........1,26,36,19,2,0,0,0,0,0,Intermediate,
.......43....3.......5.4.2....3.967.....26....6.7519..7...9.3..5....7.1.94.21.5..,28,35,18,0,0,0,0,0,0,Easy,
5...7.....4..1.7.2...84..6982.69.....1...2.....7......1..........5..9..66..1.89..,25,57,12,1,0,2,0,2,2,Expert,
..5..6.79743....8.......4...5.4..8...7....5...8..9361............9.7...4....31...,24,26,31,0,0,0,0,0,0,Easy,
.7.....3......15.996.43..8..5....913..8.....57.....86.19..4....5.76..4..4.....3..,28,46,5,0,1,4,0,2,0,Expert,
..........8.23.5.....8.9.4....3...9.2...9.....93.7.8....84.5.2.5.7...489.6.......,25,36,20,0,0,0,0,0,0,Easy,
6.81.5...4......5...1...7.2.6......8.8..731.4....1..3....3..4......48......7...13,25,69,31,1,1,1,0,9,10,Expert,
2.....8..4.....325.73...6.4....62.5..58........74.....7...........1..56.8.4..6..3,25,47,9,0,0,0,0,0,0,Easy,
9..756......4..9....89..16...1.4....6.4.3..8...75.143.......6.........4..8.6...7.,26,55,0,0,0,0,0,0,0,Simple,
.638..9.2.........9.2...7...7....62.2.87...4.4.....8...8.....546....7...3..4.827.,27,38,16,0,0,0,0,0,0,Easy,
......7....7.62....1..89....79..36..8...7..422..1.6.....2398.7....2...9.1.....8..,27,38,15,0,1,2,0,1,0,Expert,
.........51......8..9..832.2.6.1..934.........8..5......3...14..62......1...6..5.,23,45,13,0,0,0,0,0,0,Easy,
84...6...6...1..2.95...2.3.3.9....6.4.............5..9......6.....6..24.26.4.398.,26,45,10,0,0,0,0,0,0,Easy,
......7...687...955.1..2..67.....18...2..9..481......2.....6..........29.9..275..,26,47,8,0,0,0,0,0,0,Easy,
.....7.9..8..9.6...5.6..7.48...1.9....94...1...13...5......4...5........1..8...4.,23,49,9,0,0,0,0,0,0,Easy,
4.7.2..86.....9.5..9....7.4....4..........2.....6.5...862...19..54.9......1..8.2.,25,52,4,0,0,0,0,0,0,Easy,
74.2.9..5....38..79...4...3..5......1.2...78..7.....4..84.2.......5......9.......,23,51,17,1,1,2,0,2,2,Expert,
...8.2.7.....4.8.6....35.........6.35..3.8.9.....7...5..3..9.4..694..2......2.7..,25,46,10,0,0,0,0,0,0,Easy,
.8.69.7...7...5.4...47...8..25.4...1.....1...19..578......1..7...9....2....5..9..,26,40,15,0,0,0,0,0,0,Easy,
...82.3.........61.1.7.35.2.2.48..........2.563...27..2...47...75...8....4.5.....,27,46,8,0,0,0,0,0,0,Easy,
..21..........973.76..5.9..2349...6....5...19......2..1.....6.3.59.6..2....31....,27,32,22,0,0,0,0,0,0,Easy,
..2..5....7.9....1......968......5.2.......87..57...9....527..36...3.1..3..1....9,25,64,19,0,1,1,0,4,6,Expert,
..7......946.7.5....1..5.9...56..72..12...96.........1.742...892.9..6.4..6....2..,29,30,22,0,0,0,0,0,0,Easy,
.6.....3.5....8.9....76.......6.7.......9..8.....147....8.4....74..8.356..59.31..,26,75,13,3,0,3,0,7,8,Expert,
...........6...4.9.2.....3.....14..8.8....91...76....22....3..4.4197..86.7.....2.,25,48,19,0,1,1,0,6,2,Expert,
....97....8.....269..3............67.5..6.2....7.89.5.2.....319.....8....3...1.7.,24,39,18,0,0,0,0,0,0,Easy,
97...61....3.....6....3429.2.7.......94...........5..14..9....2...4...5.125......,24,39,18,0,0,0,0,0,0,Easy,
.8.1...953....8...4..59...814...5..39.7.......3....7.4...24...........71.......59,25,45,11,0,0,0,0,0,0,Easy,
.1...8..99..5...7..8...96241..4....27..8..16.....7........4.....2...5.1...6...4..,25,37,19,4,1,2,0,0,0,Intermediate,
..318.7.4...3....5.........1...4......7..5.28.......56.74.3......1.78...3.56.18..,26,40,15,1,0,0,0,0,0,Intermediate,
